node	node_type
MeSH_Tree_Disease:MeSH_Tree_Disease:C22.180	MeSH_Tree_Disease
MeSH_Tree_Disease:C18.452.394.750.074	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.131.831.350.398	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.337.650	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.550.291.906	MeSH_Tree_Disease
MeSH_Disease:D012393	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C16.320.180.830.835.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C11.768.328	MeSH_Tree_Disease
MeSH_Tree_Disease:C09.775.649	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.666.142.200	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.888.144.699.500	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C04.557.435.250	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.300	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C26.733.411	MeSH_Tree_Disease
MeSH_Tree_Disease:C11.768.757	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.140.300.535	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.888.592.763.393.341.887	MeSH_Tree_Disease
MeSH_Disease:D007079	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.550.260.127	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C18.452.648.398.641.803.441	MeSH_Tree_Disease
MeSH_Tree_Disease:C16.131.621.207.720	MeSH_Tree_Disease
MeSH_Tree_Disease:C10.228.140.300.150.477.200.199	MeSH_Tree_Disease
MeSH_Disease:D010518	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C15.604.515.827.865	MeSH_Tree_Disease
MeSH_Tree_Disease:C23.888.663	MeSH_Tree_Disease
MeSH_Tree_Disease:C20.673.480.070	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C10.228.228.399.750.300	MeSH_Tree_Disease
MeSH_Disease:D002276	MeSH_Tree_Disease
MeSH_Tree_Disease:C12.200.294.287	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C23.888.852.591	MeSH_Tree_Disease
MeSH_Tree_Disease:MeSH_Tree_Disease:C15.604.250.390.199	MeSH_Tree_Disease
